20734_113.097867026,28.2286136855_202004_265.512
20742_113.097870136,28.2285319366_202004_260.266
20768_113.097438297,28.2295246291_201909_0.306
20769_113.097429445,28.2299329438_201909_0.378
20783_113.09729475,28.2299360474_201909_181.13
20809_113.106212162,28.2148274525_202005_337.014
20810_113.106087175,28.2160462675_201908_180.294
20817_113.097493302,28.226670796_201909_0.785
20818_113.097496069,28.2262623947_201909_0.359
20821_113.09748152,28.225037276_201909_0.73
20824_113.097464085,28.223812168_201909_359.032
20825_113.097458273,28.2234037987_201909_180.065
20826_113.097452462,28.2229954294_201909_180.223
20840_113.100720241,28.2212680924_201908_271.394
20842_113.109676411,28.2212180004_201707_89.114
20883_113.098976066,28.2287702932_202004_264.257
20886_113.100189664,28.2289387331_202004_260.628
20900_113.100627426,28.2289189153_202004_260.37
20904_113.102245128,28.2291465749_202004_260.44
20906_113.103053979,28.2292604047_202004_260.27
20910_113.117395435,28.2287268547_201908_178.958
20911_113.117397808,28.2283184509_201908_181.685
20913_113.117402555,28.2275016434_201908_180.073
20917_113.117411067,28.2258680229_201908_176.604
20928_113.1119493,28.2212583946_201707_89.098
20931_113.112340759,28.2213471013_201707_268.497
20934_113.108677819,28.2212170004_201908_89.461
20938_113.091323339,28.221226362_201908_270.411
20939_113.091731678,28.2212187237_201908_269.378
20941_113.092548357,28.2212034471_201908_271.296
20943_113.093364905,28.2212111801_201908_270.315
20947_113.094997811,28.2212602454_201908_268.823
20948_113.095406037,28.2212725117_201908_269.042
20949_113.095814264,28.221284778_201908_268.524
20955_113.092137006,28.2211295018_201908_89.742
20958_113.093361884,28.2211292216_201908_90.003
20963_113.095402999,28.2211911294_201908_88.527
20964_113.095811221,28.2212035109_201908_89.756
20968_113.106041383,28.2176602727_201908_179.078
20991_113.10488702,28.2295170895_202004_259.878
20993_113.10407804,28.2294041792_202004_260.254
21046_113.105615598,28.2212986254_202004_249.499
21093_113.096795805,28.2140130245_201909_185.474
21097_113.096988731,28.215634605_201909_187.35
21098_113.097043398,28.2160393404_201909_187.181
21100_113.097148556,28.2168493531_201909_187.156
21102_113.107167671,28.207559603_201707_159.682
21103_113.107321342,28.2071812055_201707_160.06
21106_113.106093266,28.2190867449_201908_358.735
21107_113.105192618,28.2212988547_201908_270.826
21109_113.104375855,28.2213085636_201908_270.823
21111_113.103721771,28.2212299446_201908_90.926
21113_113.104666358,28.2212195969_201908_94.44
21118_113.117561223,28.2167935417_201707_359.246
21119_113.117564889,28.2163851475_201707_359.139
21132_113.117483164,28.215164033_201707_179.17
21135_113.117493853,28.2139388476_201707_179.761
21136_113.117448989,28.2189548941_201707_179.801
21140_113.117437863,28.220971405_201908_176.907
21143_113.117540951,28.2189578982_202005_358.444
21148_113.116331334,28.2218730557_201908_76.946
21149_113.116708361,28.2220267617_201908_253.73
21151_113.111160344,28.2213304049_201603_88.302
21156_113.108047182,28.221298447_201908_270.372
21158_113.1068076,28.2212860491_201908_270.262
21166_113.106192435,28.2296987963_202004_260.464
21167_113.106597208,28.2297531823_202004_260.81
21176_113.117500363,28.226288447_201908_1.388
21181_113.117512594,28.2241051919_201908_0.334
21183_113.117517189,28.2232883835_201908_0.3
21188_113.105971835,28.220124491_201908_179.615
21192_113.106163664,28.2165807556_201908_359.666
21193_113.106064694,28.2168712803_201908_179.603
21194_113.106187324,28.2157657751_201908_359.042
21215_113.097333546,28.2274797013_201909_181.668
21216_113.097343093,28.2270714023_201909_180.266
21225_113.097332289,28.2233958333_201909_180.065
21233_113.100713218,28.2213489865_201908_271.394
21240_113.09717085,28.2160709291_201909_7.275
21356_113.113143629,28.221286375_201707_84.144
21357_113.115919478,28.2217806716_201908_75.476
21359_113.115122434,28.2216020151_201908_76.072
21363_113.113985667,28.2214510184_201908_262.66
21365_113.11514051,28.2216903785_201908_255.765
21366_113.115539021,28.2217797569_201908_255.126
21414_113.105836093,28.2271921348_202004_178.389
21415_113.105849461,28.226783943_202004_178.145
21417_113.105877388,28.2259318089_202004_358.145
21418_113.105890775,28.2255236177_202004_358.328
21419_113.105904163,28.2251154265_202004_358.163
21422_113.105944325,28.2238908529_202004_358.625
21423_113.105957712,28.2234826617_202004_358.141
21425_113.105984487,28.2226662793_202004_358.499
21427_113.106011262,28.2218498969_202004_355.253
21430_113.105709702,28.2284048444_202004_178.404
21433_113.105744047,28.227180149_202004_178.389
21434_113.105757677,28.2267719658_202004_178.145
21435_113.105771306,28.2263637826_202004_178.195
21436_113.105785403,28.2259348095_202004_177.932
21437_113.105798805,28.2255266188_202004_178.807
21439_113.105825611,28.2247102374_202004_178.476
21441_113.105852416,28.2238938561_202004_178.49
21442_113.105865819,28.2234856654_202004_178.283
21443_113.105879222,28.2230774747_202004_178.439
21444_113.105892625,28.222669284_202004_178.681
21449_113.107561613,28.2068310583_201707_340.112
21453_113.109251854,28.2068449031_201707_262.391
21459_113.111683399,28.2071476713_201707_259.95
21461_113.112490391,28.2072740112_201707_260.205
21468_113.1153204,28.2076779143_201707_260.638
21485_113.10846196,28.206668683_201707_262.946
21486_113.108867439,28.2067175244_201707_82.144
21487_113.109272919,28.2067663657_201707_82.809
21488_113.109678399,28.2068152071_201707_82.133
21489_113.110083878,28.2068640484_201707_83.212
21492_113.111300318,28.2070105724_201707_260.611
21493_113.111704524,28.207068612_201707_80.257
21500_113.114531835,28.2074911834_201707_260.684
21502_113.115341533,28.2075988284_201707_260.638
21523_113.106145245,28.2136793207_201707_179.534
21528_113.106181273,28.2116375934_201707_178.849
21529_113.106187105,28.2112292253_201707_178.307
21530_113.106193351,28.2108208624_201707_175.818
21531_113.106224844,28.2104139498_201707_172.881
21538_113.106227701,28.2141166622_201707_359.174
21539_113.106235403,28.2137083241_201707_359.471
21540_113.106243105,28.2132999861_201707_358.949
21543_113.10626621,28.2120749719_201707_359.026
21548_113.106376813,28.2100398179_201707_169.127
21551_113.106732357,28.2088692108_201707_340.771
21559_113.119719971,28.2079924999_201409_90.015
21562_113.120945141,28.2079866106_201409_89.816
21565_113.122170373,28.2079861249_201409_89.14
21569_113.123804015,28.2079854772_201409_89.127
21571_113.124620836,28.2079851534_201409_90.158
21586_113.116385708,28.207737564_201707_80.023
21595_113.119710934,28.2080747364_201603_268.998
21598_113.120936122,28.2080690365_201603_269.372
21599_113.121344532,28.2080686317_201603_269.374
21601_113.122161353,28.2080678219_201603_269.781
