20734_113.097867026,28.2286136855_202004_265.512
20742_113.097870136,28.2285319366_202004_260.266
20767_113.097447149,28.2291163143_201909_1.112
20768_113.097438297,28.2295246291_201909_0.306
20769_113.097429445,28.2299329438_201909_0.378
20781_113.097308917,28.229119349_201909_180.118
20783_113.09729475,28.2299360474_201909_181.13
20809_113.106212162,28.2148274525_202005_337.014
20810_113.106087175,28.2160462675_201908_180.294
20814_113.106107121,28.2153125007_201908_178.876
20817_113.097493302,28.226670796_201909_0.785
20818_113.097496069,28.2262623947_201909_0.359
20819_113.097493144,28.2258540146_201909_359.914
20821_113.09748152,28.225037276_201909_0.73
20822_113.097475709,28.2246289067_201909_359.791
20823_113.097469897,28.2242205373_201909_1.329
20824_113.097464085,28.223812168_201909_359.032
20825_113.097458273,28.2234037987_201909_180.065
20826_113.097452462,28.2229954294_201909_180.223
20840_113.100720241,28.2212680924_201908_271.394
20841_113.107630386,28.2212134739_201908_90.557
20842_113.109676411,28.2212180004_201707_89.114
20844_113.110492978,28.2212380605_201707_88.216
20883_113.098976066,28.2287702932_202004_264.257
20886_113.100189664,28.2289387331_202004_260.628
20887_113.100610443,28.2289977902_202004_260.37
20889_113.10141933,28.2291113697_202004_260.584
20898_113.099803993,28.228803582_202004_260.143
20899_113.100208491,28.2288599775_202004_260.628
20900_113.100627426,28.2289189153_202004_260.37
20904_113.102245128,28.2291465749_202004_260.44
20906_113.103053979,28.2292604047_202004_260.27
20910_113.117395435,28.2287268547_201908_178.958
20911_113.117397808,28.2283184509_201908_181.685
20913_113.117402555,28.2275016434_201908_180.073
20917_113.117411067,28.2258680229_201908_176.604
20927_113.112357665,28.2212645056_201707_89.777
20928_113.1119493,28.2212583946_201707_89.098
20931_113.112340759,28.2213471013_201707_268.497
20934_113.108677819,28.2212170004_201908_89.461
20937_113.101861627,28.221253571_201908_270.844
20938_113.091323339,28.221226362_201908_270.411
20939_113.091731678,28.2212187237_201908_269.378
20940_113.092140018,28.2212110854_201908_272.029
20941_113.092548357,28.2212034471_201908_271.296
20943_113.093364905,28.2212111801_201908_270.315
20947_113.094997811,28.2212602454_201908_268.823
20948_113.095406037,28.2212725117_201908_269.042
20949_113.095814264,28.221284778_201908_268.524
20955_113.092137006,28.2211295018_201908_89.742
20956_113.092545342,28.221121669_201908_90.095
20958_113.093361884,28.2211292216_201908_90.003
20962_113.094994776,28.2211787478_201908_90.082
20963_113.095402999,28.2211911294_201908_88.527
20964_113.095811221,28.2212035109_201908_89.756
20966_113.096627795,28.2212228796_201908_89.663
20968_113.106041383,28.2176602727_201908_179.078
20969_113.106344003,28.221128362_201908_90.241
